"","L4","Vip","Lamp5","L5 NP","Sst","L5 IT","Oligo","L6 PT","L6 IT","Sncg","Pvalb","L2/3 IT","Astro","L5 PT","L6b","Endo","Peri","Meis2","Macrophage","CR","VLMC","SMC"
"856",0,0,0,0,0,0,0.173152223549032,0.125717049017569,0,0,0,0.40524618868837,0,0,0,0,0,0,0,0,0,0
"857",0,0,0,0,0,0,0,0.132489419627494,0,0,0,0.505727843761799,0,0,0,0,0,0,0,0,0,0
"858",0,0.517901301669392,0,0,0.20296320863844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"860",0,0,0,0,0,0,0,0,0.374917688031219,0,0,0,0,0,0.136663168206437,0.127615577090227,0,0,0,0,0,0
"861",0.159558263358625,0,0.125609141229994,0,0,0,0,0.144420874279228,0,0,0,0,0,0.189515635633966,0,0,0,0,0,0,0,0
"888",0,0,0,0,0,0.187117088931015,0,0,0,0,0,0.496524990001515,0,0,0,0,0,0,0,0,0,0
"889",0,0,0,0.20417609766118,0.1528735399057,0,0,0,0,0,0,0,0.127285194797903,0,0,0,0,0,0,0,0.125998673716065,0
"890",0.144061012281625,0.23301212247663,0,0,0,0.214203418498322,0,0,0,0,0,0,0,0,0,0,0,0,0.137232658310561,0,0,0
"891",0.301759541906944,0,0,0,0,0.215741459003041,0,0,0,0,0,0,0,0,0,0.131994426322926,0,0,0,0,0,0
"892",0,0,0,0,0,0.398608873730159,0,0,0.143880171381105,0,0,0,0,0,0,0.125704625647613,0,0,0,0,0,0
"893",0.166209376858666,0,0,0,0,0.230031922294642,0,0,0,0,0,0.258814446449466,0,0,0,0,0,0,0,0,0,0
"894",0,0,0,0.125997892311023,0,0.234161249667478,0,0.206843234668047,0,0,0,0,0.131513636824088,0,0,0,0,0,0,0,0,0
"895",0.167183367577996,0,0,0,0,0,0,0,0,0,0,0.477572596468695,0,0,0,0,0,0,0,0,0,0
"896",0.139281004311019,0,0,0,0,0.218500506171058,0,0,0.125393450300397,0,0,0,0,0.20293156734143,0,0,0,0,0,0,0,0
"918",0.156827415913731,0,0.126046350402774,0,0,0.143334045730048,0,0.217574267253205,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"919",0,0,0,0,0.173879132585851,0.125797402167242,0,0,0.341072189118041,0,0,0,0,0,0,0,0,0,0,0,0,0
"920",0,0,0,0,0,0,0,0.154599592093842,0,0,0,0.227920658923579,0,0.328833376543845,0,0,0,0,0,0,0,0
"921",0,0,0,0,0,0,0,0,0.180023112520979,0,0.508267903077173,0,0,0,0,0,0,0,0,0,0,0
"922",0,0,0.14903604799025,0,0,0,0,0,0,0,0,0.377638926339871,0,0,0,0.131348100531517,0,0,0,0,0,0
"923",0,0.126395629275017,0.199588890888037,0,0,0.324532097568322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"924",0.163561842623492,0,0,0,0,0,0,0,0,0,0,0.144420874279228,0,0,0.231347041719486,0,0,0,0,0,0.126283669977789,0
"925",0,0,0,0,0,0,0,0.194559454961543,0,0,0,0,0,0.152075183453409,0,0,0.139506665480916,0,0.127437541814871,0,0,0
"926",0,0,0,0,0.133357216345055,0,0,0,0,0,0,0.349779046383778,0,0,0,0,0,0,0,0,0.130499182847033,0
