"sample_name","x","y","rmax","subclass","broad_class"
4605,16512.0315326291,11352.7030631409,0.0178934598124831,"L2/3 IT","Ex"
4607,11366.3000647603,5429.1578041439,0.0260231581813356,"L6 PT","Ex"
4610,10955.837301998,7206.48211726484,0.0116139548703224,"L6 IT","Ex"
4611,4983.05909915415,13434.7156813054,0.0246610358201203,"L5 PT","Ex"
4612,14906.4621194378,6732.73267926675,0.0125742798477028,"L2/3 IT","Ex"
4613,9464.82775391372,8693.75671664011,0.0258002241394486,"L5 NP","Ex"
4614,13333.8194983592,16156.7716168614,0.0257198736726947,"L2/3 IT","Ex"
4615,13030.7535840891,3244.92420800612,0.0263348703428905,"L6 IT","Ex"
4616,4806.71814293078,14570.9065194516,0.0115092146319356,"L5 PT","Ex"
4617,11196.9711465782,16852.4745192891,0.0182058856489468,"L2/3 IT","Ex"
4620,7861.65759310662,15625.9895156139,0.01295561850206,"L5 PT","Ex"
4621,4895.88529074924,14079.8214890912,0.0132091981288742,"L6 PT","Ex"
4625,7699.93656488649,17965.7962057362,0.0134513839613945,"L6 PT","Ex"
4626,4773.78400972456,15707.9286435815,0.0252629210258926,"L5 PT","Ex"
4627,10191.8750561815,16003.9909977361,0.035374592368952,"L4","Ex"
4628,14985.7865892055,8397.65063482842,0.0157104148618043,"L4","Ex"
4629,2763.47342040519,14355.697165993,0.0138729571073699,"L6b","Ex"
4630,8887.2560760845,6919.09572231175,0.0174489433900755,"L6 PT","Ex"
4631,12427.0979778289,3494.34177262707,0.0103855129129007,"L6 PT","Ex"
4633,15143.6317886425,12590.1601888944,0.018042316337535,"L2/3 IT","Ex"
4634,641.209180145446,15617.5074059139,0.0179500985551055,"L6 PT","Ex"
4635,13021.0851823876,2525.66751245728,0.0181289804637232,"L2/3 IT","Ex"
4637,8937.62552450177,7749.24387353712,0.0259045828800805,"L6 PT","Ex"
4638,15518.1263374699,2916.30741496006,0.0186045587110528,"Sst","Inh"
4639,13422.0302661453,13709.8876946545,0.0212017790390367,"L2/3 IT","Ex"
4640,2637.47902833912,14581.3228019834,0.00897546260837382,"Pvalb","Inh"
4643,7209.57242593822,13677.7331071339,0.0144031208470149,"L6 IT","Ex"
4644,8233.6110687589,8149.09672627146,0.0149517032107108,"L6 PT","Ex"
4645,8545.49212083081,2226.24401353867,0.0258853125131204,"L5 PT","Ex"
4646,13298.3694515351,14214.9983281594,0.0159363118254973,"L2/3 IT","Ex"
4648,8188.54951442959,18607.296906541,0.017513384407713,"L4","Ex"
4649,7848.81903347406,16938.2450714159,0.0142502005062596,"L5 IT","Ex"
4653,13580.7968644249,14319.9835909731,0.0176224559139508,"L2/3 IT","Ex"
4654,12052.7307307912,15149.7014441306,0.0258829562935761,"L2/3 IT","Ex"
4656,14230.188644303,6170.18611762061,0.0137625742189622,"L5 IT","Ex"
4657,8531.93326032678,10083.5226781301,0.0129751568152508,"L6 IT","Ex"
4658,8805.08998500283,13682.1858426231,0.0111409401308586,"L5 PT","Ex"
4661,16171.7014616427,4385.62007001302,0.0162495286906334,"L5 PT","Ex"
4664,16919.3969026695,9899.04766016905,0.0130052640812939,"L2/3 IT","Ex"
4665,16397.0826820483,10735.1918676076,0.0217803267452,"L2/3 IT","Ex"
4666,10325.0766449517,775.279751842154,0.0171253094643781,"L5 PT","Ex"
4668,404.662830058243,15223.7152747286,0.0183739053570663,"L4","Ex"
4669,14722.8205833196,10958.9037538635,0.0229787241758058,"Vip","Inh"
4670,12224.774282773,5358.14626559703,0.0259330367193271,"L6 IT","Ex"
4671,7860.24552158042,14957.3269463218,0.0253336789350874,"Pvalb","Inh"
4672,8059.6251962006,16580.120919347,0.0275455823789997,"Sst","Inh"
4673,14733.0148745923,9329.16651287479,0.0262384295481003,"L4","Ex"
4674,12336.8062226303,6793.5521636834,0.00988666657929381,"L5 IT","Ex"
4675,11871.8242428496,4994.47189393232,0.026147407370475,"L2/3 IT","Ex"
4676,16737.0235351995,4752.2577741867,0.0256008781878302,"L4","Ex"
4677,10159.2497441743,16722.1527973125,0.0298349163786765,"Vip","Inh"
4678,9050.59733284237,14396.4182724084,0.0136640310084824,"L6b","Ex"
4680,10427.2332532566,13149.3417166689,0.0165713212247734,"L5 IT","Ex"
4682,8345.33441623208,11123.3260497623,0.0117326653762422,"L6 PT","Ex"
4683,11127.3433356227,14262.2871501597,0.0171329853040032,"L4","Ex"
4684,6748.87394417258,10945.8802396379,0.0255932568372322,"L6 PT","Ex"
4689,11967.3330027966,15554.4579513705,0.0124620301431,"L4","Ex"
4690,8932.98480867715,15615.7109086306,0.0143539656720591,"L4","Ex"
4692,8733.33335970746,13195.2418153853,0.0157935461105385,"Sst","Inh"
4693,11534.4448922945,2869.58988549488,0.0172474622030668,"L6 IT","Ex"
4695,11419.5256118727,9434.13483788405,0.0258153915459594,"L5 PT","Ex"
4697,1190.25522144584,14680.3513085906,0.0133877020066171,"L5 PT","Ex"
4698,11450.4388369225,4378.54287532421,0.0218579014832953,"L6 PT","Ex"
4699,12538.5294327528,16619.3946949717,0.0136153524435854,"Pvalb","Inh"
4701,10459.6846013724,4987.29013110953,0.0251180692798097,"L5 PT","Ex"
4703,9638.17870421336,10613.3039651747,0.0142009022129009,"L4","Ex"
4704,10305.5500360079,2520.7112436539,0.0461728821749706,"Oligo","Glia"
4709,5612.79638129113,15117.0097965295,0.0259522164160658,"L6 IT","Ex"
4713,14150.2493030458,4535.89398311009,0.0235941574912614,"Sst","Inh"
4716,12462.303160704,13629.7319778003,0.0199455661165957,"L2/3 IT","Ex"
4718,13551.1757375504,14172.5627298905,0.0230683141665061,"Vip","Inh"
4719,4679.90405973874,14084.5756062747,0.0194777098210852,"L6 IT","Ex"
4720,7793.43162560548,5044.56967981473,0.0112363692604666,"L6b","Ex"
4721,7550.85849977562,18636.9873721288,0.0145966560323904,"L4","Ex"
4723,5692.23760001008,12308.7810621383,0.0173840536125154,"L4","Ex"
4726,8521.48817832949,9964.81909008781,0.0258945136374596,"L6 IT","Ex"
4727,8078.09086565227,9320.33334879496,0.0211447453420378,"L4","Ex"
4730,14756.7274904986,3992.06610941672,0.0261146068821828,"L5 PT","Ex"
4731,6044.68569806366,14984.1955129266,0.0199927806617923,"L5 IT","Ex"
4733,15212.646794675,5308.93973362847,0.0112559367358247,"Sst","Inh"
4735,10531.1735670539,13686.9471748662,0.0230543473704505,"L2/3 IT","Ex"
4736,6261.08753354204,13845.9460897649,0.0261333434800507,"L6 IT","Ex"
4737,6530.51448918076,12026.9017682026,0.0140424480252409,"L6 PT","Ex"
4738,11956.3351317329,16760.191582214,0.0259301287228329,"L2/3 IT","Ex"
4741,6773.75864186039,14907.9815818232,0.0195643923523948,"L6 IT","Ex"
4742,16657.1447896491,7020.89870026377,0.0257254885110738,"L2/3 IT","Ex"
4743,12568.8100843435,5070.54279813837,0.0148125782702601,"L5 PT","Ex"
4744,15331.3870997919,2698.81104092579,0.0141516321812021,"L5 PT","Ex"
4745,8313.81349634595,18872.3977724141,0.0053475935828877,"Pvalb","Inh"
4746,13312.745728894,10844.9546158292,0.0174237085276963,"L5 PT","Ex"
4747,12491.5013513737,7763.22042357204,0.0163553132290349,"L5 PT","Ex"
4748,14597.8612781308,14725.3436142546,0.0132588696693774,"L2/3 IT","Ex"
4750,12663.4405298925,9903.95140438005,0.0154354298633874,"L5 PT","Ex"
4751,15795.9992717379,8878.2726562756,0.0272652353271032,"L4","Ex"
4753,8241.68205562677,16668.5037098978,0.0131737543684021,"Pvalb","Inh"
4757,9094.97719873597,17250.6320439463,0.0239394860332205,"L4","Ex"
4758,8204.97021433413,2544.28140774034,0.0202053471074688,"L5 PT","Ex"
4759,15431.4537468117,8859.83912224477,0.0147465057846134,"Lamp5","Inh"
4760,12041.6564796583,17097.3236893014,0.0178782210057823,"L2/3 IT","Ex"
4763,8922.61345746434,18105.5305517313,0.0214319915930793,"L2/3 IT","Ex"
4764,9794.96342784296,11106.8656818169,0.0178325191297546,"L5 PT","Ex"
4765,4825.70386308855,17066.6173934134,0.0192326237399453,"L6 IT","Ex"
4766,13598.8260834337,4688.57046144605,0.0166685646293597,"L5 NP","Ex"
4768,9811.50529148148,7722.62435111875,0.016074856293951,"L2/3 IT","Ex"
4769,11449.4111483378,17139.969041449,0.0199374934604911,"L2/3 IT","Ex"
4770,2167.02195439077,14748.161782365,0.0125856305379295,"Vip","Inh"
4771,7581.25860189754,10840.5429956583,0.0145940166872342,"L6 IT","Ex"
4773,16094.0973219763,11234.3909774088,0.026069518448904,"L2/3 IT","Ex"
4777,5360.11363469761,14854.9594791282,0.0155393284465578,"L6 PT","Ex"
4778,9437.66001586293,17397.5205624378,0.0186374688828225,"L4","Ex"
4779,7013.9374932191,14333.4671259748,0.0157877405297122,"L6 PT","Ex"
4780,15202.634033543,11608.2328906347,0.0190064593074277,"L2/3 IT","Ex"
4783,12827.3288879073,3453.58756270688,0.0176895846790734,"L6 IT","Ex"
4785,9916.4168987036,14355.5033985793,0.0175226980549196,"L5 PT","Ex"
4787,11838.57155796,5473.83501025808,0.0144628559160388,"L6 IT","Ex"
4789,8274.86863554491,16292.7688012553,0.0180796725345316,"L4","Ex"
4792,8382.51609815585,16857.8598875782,0.0174103506853843,"Pvalb","Inh"
4793,7194.94456536453,17978.858845556,0.0283136736959524,"L5 IT","Ex"
4794,13096.2951660133,4803.43526625661,0.0269698086997635,"Vip","Inh"
4798,6474.75599481499,4003.84791556615,0.0151297908717162,"L5 PT","Ex"
4799,2029.01216468706,14734.8106017655,0.01231745386696,"L6 IT","Ex"
4801,13074.6248609177,8129.03936457396,0.0176619486371666,"Pvalb","Inh"
4806,13681.3437802982,14420.9201688153,0.027285732138979,"L2/3 IT","Ex"
4807,12568.8463689644,12851.2975429137,0.0242645471030818,"L4","Ex"
4808,8574.97833606759,18888.4492099037,0.0275016517435723,"L2/3 IT","Ex"
4810,12345.2893174664,17323.2392850514,0.0120177336642599,"L2/3 IT","Ex"
4811,13878.1790580229,10949.3192762492,0.0135603255013537,"L4","Ex"
4814,9164.4295699735,17380.0584036947,0.0261467181994393,"L4","Ex"
4815,7095.6636811673,17842.4642074142,0.0124700073470426,"L4","Ex"
4816,7067.98720824012,5475.58234371605,0.0115438562433763,"L5 NP","Ex"
4817,14617.4462831198,10593.9456198761,0.0164570111982825,"L4","Ex"
4818,4948.03083873103,12717.9896750576,0.0216263045448086,"L6b","Ex"
4824,17001.6400577074,4508.15548108442,0.014640286013209,"Sst","Inh"
