"","L4","Vip","Lamp5","L5 NP","Sst","L5 IT","Oligo","L6 PT","L6 IT","Sncg","Pvalb","L2/3 IT","Astro","L5 PT","L6b","Endo","Peri","Meis2","Macrophage","CR","VLMC","SMC"
"3744",-2.54222366840785,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-1.25757063341636,-7,-5.99270964190846,-7,-7,-7,-7,-7,-7,-7,-7
"5749",-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3.98011667421625,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"1123",-7,-7,-7,-7,2.11671872623997,-7,-7,-7,-7,-7,-7,-7,-5.700297001,-7,-7,-7,-7,-7,-7,-7,-7,-7
"312",-7,-4.09777914991541,-7,-7,-7,-3.65368515608758,-7,-7,-5,-7,-7,-5.3903976915653,-7,-5.97027281669395,-7,-7,-7,-7,-7,-7,-7,-7
"4633",-7,-7,-7,-7,-7,-5.95013981471737,-7,-7,-7,-7,-7,3.25084356859456,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"5517",-7,-7,-7,-7,-7,-7,-7,-5.97986324844965,2.42120351637481,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"1585",-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3.87423459656917,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"4940",-7,-7,-7,-7,-5.96821320228993,-7,-7,1.19221842711071,-5.6509151924989,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"1019",-1.6307283947,-7,-7,-7,-5.69247798674373,-5.98224307794815,-7,-5.96324090605104,-7,-7,-7,-5.26108780255266,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"2390",-7,-7,-7,-7,-7,-7,-7,3.37728311975353,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"3924",-7,-7,-7,-2.48723062164003,-7,-7,-7,-3.0500121781,-7,-7,-7,-7,-7,-5.96681093978727,-7,-7,-7,-7,-5.170279529,-7,-7,-7
"2790",-7,-5.433054279,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2.99620277076,-7,-7,-7,-7,-7,-7,-7,-7
"5557",-7,-7,-7,-7,-7,-5.87449559498174,-7,-7,-7,-7,-7,2.65517460697561,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"4411",-7,-7,-7,-7,2.32419442416087,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-5.808049728,-7,-7,-7,-7
"542",-7,-7,-7,-7,-5.99270964190846,-7,-7,-1.96661260564275,-7,-7,-7,-3.29413321910128,-5.94587493676234,-7,-7,-7,-7,-7,-7,-7,-7,-7
"1821",1.10307553654173,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-5.0010510469,-7,-5.96681093978727,-7,-7,-7,-7,-7,-7,-7,-7
"1877",-0.645588025446453,-7,-7,-7,-7,-5.38,-7,-7,-4.36257551679823,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"4344",-7,-3.41249460866877,-7,-7,-5.24,-7,-5.44667028626721,-7,-5.0021191991,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-5.607485032,-7
"2653",-7,-5.9479332788713,-7,0.226929717508268,-7,-7,-7,-7,-7,-7,-5.03,-7,-7,-5.96324090605104,-7,-7,-7,-7,-7,-7,-7,-7
"1921",-7,-7,-5.79142949754811,-7,-7,-7,-7,-5.96681093978727,-5.154749906,-7,-7,-7,-7,-0.636070655617918,-7,-7,-7,-7,-7,-7,-7,-7
"1477",-5.93849355662958,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2.84533001594771,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"670",-7,-7,-7,-5.365186972,-7,-7,-7,-7,-5.97929937940671,-7,-7,-3.35703919026505,-7,-3.99681093978727,-7,-7,-7,-7,-5.63796583122454,-7,-7,-7
"2178",-7,3.45406928321645,-7,-7,-7,-7,-7,-7,-7,-5.84435130883195,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"272",-7,-7,-7,-7,-3.2080981602958,-7,-7,-7,-7,-7,0.49584765268879,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"1155",0.84364015908433,-7,-7,-7,-5.99270964190846,-7,-7,-7,-7,-7,-7,-5.0000002072,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"4913",-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,5.08379844817262,-7,-7,-7,-7,-7,-7,-7
