"","L4","Vip","Lamp5","L5 NP","Sst","L5 IT","Oligo","L6 PT","L6 IT","Sncg","Pvalb","L2/3 IT","Astro","L5 PT","L6b","Endo","Peri","Meis2","Macrophage","CR","VLMC","SMC"
"301",0,0,0,0,0,0,0,0,0.745098333825829,0,0,0,0,0,0.102106319901676,0,0,0,0,0,0,0
"304",0,0,0.443465945217595,0,0,0,0,0,0,0,0.295576103116702,0,0,0,0,0,0,0,0,0,0,0
"306",0,0,0,0,0,0,0,0,0,0,0,0.764464251254852,0,0,0,0,0,0,0,0,0,0
"309",0,0,0,0,0.345291323732236,0,0.259179823498726,0,0,0,0,0,0,0,0,0.160389132780541,0,0,0,0,0,0
"310",0,0,0,0,0,0,0,0.132971929731268,0.101249358035137,0,0,0.367199621731595,0,0.111750170600546,0,0,0,0,0,0,0,0
"312",0.2,0.182,0,0,0,0.132801184963792,0,0,0,0,0,0.157152643047994,0,0,0,0,0,0,0,0,0,0.101793673698449
"313",0,0,0,0,0.626185124003489,0,0,0,0,0.10730463675352,0,0,0,0,0,0,0,0,0,0,0,0
"314",0,0,0,0,0.662421640240333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10916001216853,0,0
"315",0,0,0,0,0,0,0,0.635400328241937,0.117509819031421,0,0,0,0,0,0,0,0,0,0,0,0,0
"316",0,0,0.111279263093642,0,0,0,0,0,0,0,0,0.383496995762695,0,0,0,0,0,0,0.229555682070036,0,0,0
"317",0,0,0,0.101174339246224,0,0.176868685979795,0,0.476691966218591,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"319",0.214246539167118,0,0,0,0,0,0,0,0,0,0,0.504126240030484,0,0,0,0,0,0,0,0,0,0
"321",0.171353601475181,0,0,0.100408355595675,0,0.13809337189879,0,0,0,0,0,0.171,0,0,0,0,0,0,0.162601760598806,0,0,0
"322",0,0,0,0,0,0,0,0.829762339555519,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"325",0,0,0,0,0,0.102066288519416,0,0,0.697615851754488,0,0,0,0,0,0,0,0,0,0,0,0,0
"326",0,0,0,0,0,0,0,0,0.173274218657036,0,0,0,0,0.508681170455221,0,0,0,0,0,0,0,0
"329",0,0,0,0,0,0,0,0.854136065570899,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"332",0,0,0,0,0,0,0,0.857048542028574,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"334",0.103464564320958,0,0,0,0,0,0,0,0,0,0,0.678590257612252,0,0,0,0,0,0,0,0,0,0
"337",0.194042000934403,0,0,0,0,0,0,0,0,0,0,0.493876295766556,0,0,0.101958143990982,0,0,0,0,0,0,0
"340",0,0,0,0,0,0,0,0,0,0,0,0.456813831917206,0,0,0,0,0,0,0.262053974409272,0,0,0
"347",0,0,0,0,0,0,0,0,0,0,0,0.784809406620394,0,0,0,0,0,0,0,0,0,0
"348",0,0.193666159731711,0,0,0.369539412792823,0,0,0,0,0,0.114078087901043,0,0.100870139870724,0,0,0,0,0,0,0,0,0
"350",0,0,0,0,0,0,0,0,0,0,0.131086121475589,0,0,0.544792328688592,0,0,0,0,0,0,0,0
"351",0.355429145866761,0,0,0,0,0.127009496430389,0,0,0,0,0,0,0,0,0.101839264353007,0.11481334778808,0,0,0,0,0,0
"356",0,0,0,0,0,0,0,0,0.713389697321219,0,0,0,0,0,0,0,0,0,0,0,0,0
"357",0,0,0,0,0,0,0,0,0.575438041109272,0,0,0.177735311283313,0,0,0,0,0,0,0,0,0,0
"362",0.37368978038921,0,0,0,0,0,0,0,0.207560624114167,0,0,0.169,0,0,0,0,0,0,0,0,0,0
"363",0.276095280704898,0,0,0.100744936055754,0,0,0,0,0,0,0,0.371665405709129,0,0,0,0,0,0,0,0,0,0
"366",0,0.154105038136122,0,0,0.464163571608569,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159289831487823,0,0,0
"367",0.80753970750824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"371",0,0,0,0,0,0,0,0.683873137194323,0,0,0,0,0.112312521000067,0,0,0,0,0,0,0,0,0
"373",0,0,0,0,0.110203674651759,0,0,0.667228851987734,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"374",0,0,0,0,0,0,0,0,0,0,0,0.638805807360867,0,0.102923003219835,0,0,0,0,0,0,0,0
"377",0.301408820682506,0,0,0,0,0.312991009243136,0,0,0,0,0.144923863756364,0,0,0,0,0,0,0,0,0,0,0
"380",0,0,0,0,0,0,0,0.757000549327959,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"384",0,0.100270964197967,0,0,0.100091556769559,0,0,0,0,0,0.516018564105147,0,0,0,0,0,0,0,0,0,0,0
"386",0,0,0,0,0,0.1669881348195,0,0,0,0,0.118541623333195,0.2,0,0,0,0,0,0,0.129125889585537,0,0,0.100556595054863
"387",0,0,0,0,0,0,0,0,0,0,0,0.631678084752552,0,0,0,0.103351739836034,0,0,0,0,0,0
"394",0,0,0.100391729653885,0,0,0.122900675282161,0,0,0,0,0,0.529168007259188,0,0,0,0,0,0,0,0,0,0
"400",0,0,0,0.425822828126507,0,0,0,0.153142404260043,0,0,0,0,0,0,0,0,0,0,0.159289831487823,0,0,0
"406",0,0,0,0,0.303892877836405,0,0,0,0,0,0.502732486783057,0,0,0,0,0,0,0,0,0,0,0
"412",0,0,0,0,0,0,0,0,0.837517697045534,0,0,0,0,0,0,0,0,0,0,0,0,0
"413",0,0,0,0,0,0,0,0,0,0,0.778677820547171,0,0,0,0,0,0,0,0,0,0,0
"416",0.759428595292462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"417",0.163341005448818,0,0,0,0,0,0,0,0.164744024180877,0,0,0.48241107309253,0,0,0,0,0,0,0,0,0,0
"419",0,0,0,0,0,0.103071792698089,0,0,0,0,0.754277906434279,0,0,0,0,0,0,0,0,0,0,0
"421",0,0,0,0,0.100188601686701,0,0,0,0,0,0,0.516009962874412,0,0.134354003932813,0,0,0,0,0,0,0,0
"422",0.740573250929158,0.10118974942849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"423",0,0,0,0,0,0,0,0,0,0,0,0.820093777467624,0,0,0,0,0,0,0,0,0,0
"425",0,0,0,0,0,0,0.100237138859208,0.27577294121502,0,0,0,0.356815339009085,0,0,0,0,0,0,0,0,0,0
"428",0,0,0,0,0.2,0,0,0,0.289800108425212,0,0,0,0.102547258781685,0.13349938186702,0,0,0,0,0,0,0,0
"429",0.299742304542342,0.100458447859989,0,0,0,0.154298463755084,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
"430",0.283421938952298,0,0,0.114326783845708,0,0,0,0.167323312555758,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
"431",0,0,0,0,0,0,0,0.789263379565606,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"432",0.410533900526653,0,0,0,0,0,0,0,0,0,0,0.356067831197207,0,0,0,0,0,0,0,0,0,0
"433",0,0,0,0,0,0.10189180782032,0,0,0,0,0.657766138211461,0,0,0,0,0,0,0,0,0,0,0
"437",0.590040976797307,0,0,0,0,0,0,0,0,0,0,0.179459055703057,0,0,0,0,0,0,0,0,0,0
"441",0.22066512090904,0,0,0,0,0,0,0,0,0,0,0.374478981307685,0,0,0,0,0,0,0.124600786199835,0,0,0
"442",0,0,0,0,0,0,0,0,0,0,0.188159337109879,0,0,0.622970301630186,0,0,0,0,0,0,0,0
"445",0,0,0,0.101371043455268,0,0,0,0,0.334259104180016,0,0,0.34,0,0,0,0,0,0,0,0,0,0
"446",0,0,0,0,0.192,0,0,0.2,0,0,0,0.156809201233793,0.10507377183607,0,0,0,0,0,0,0,0,0.102162517973206
"451",0,0,0,0.101565224664022,0,0.33543351221136,0,0.161504430594256,0,0,0,0,0,0.154,0,0,0,0,0,0,0,0
"452",0,0,0,0,0,0,0,0,0,0,0,0.788438258931168,0,0,0,0,0,0,0,0,0,0
"454",0,0,0,0,0.178341519306324,0,0,0,0,0.104011699822138,0.408014244802749,0,0,0,0,0,0,0,0,0,0,0
"456",0.560956870786935,0,0,0,0,0,0,0,0.126794435742194,0,0,0,0,0,0,0,0,0.111087630607581,0,0,0,0
"457",0,0,0,0,0,0.783885552276143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"459",0,0,0,0,0,0,0,0,0.114468786300116,0,0,0.376361759416255,0,0,0,0,0,0,0.114373596177686,0,0.101864256242623,0
"460",0,0,0,0,0,0,0,0,0,0,0.113430368977181,0,0,0.584882674353561,0,0,0,0,0,0,0,0
"461",0,0,0,0,0,0,0,0,0,0,0,0.788108970917034,0,0,0,0,0,0,0,0,0,0
"463",0,0,0,0,0,0,0,0.758934012024246,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"464",0,0,0,0,0.773176202054017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"470",0.334483130477476,0,0,0,0,0,0,0,0,0,0,0.271584372069991,0,0,0,0.101384546944477,0,0,0,0,0,0
"471",0,0,0,0,0,0,0,0,0.373093912267028,0,0,0.199,0,0,0,0,0,0,0.260883041875884,0,0,0
"475",0,0,0,0,0,0,0,0,0,0,0.750351796276757,0,0,0,0,0,0,0,0,0,0,0
"482",0.797400058681029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"485",0,0,0,0,0,0,0,0.867711226089865,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"486",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.759046402207897,0,0,0,0,0,0,0
"487",0.166140531649701,0,0,0,0,0,0,0,0,0,0,0.337352845490689,0.101041431888631,0,0,0.112421004245674,0,0,0,0,0,0
