"cell","x","y","query.cluster","match.cell2cluster","rmax.cell2cluster","subclass","broad_class"
"5117",331.01787,232.6893775,"query.iter3_cl6","cl13_n153_Ctla2a_Endo",0.293949815580776,"Endo","Endo"
"5118",1175.68927,190.1219201,"query.iter3_cl2","cl41_n102_Selplg_Macrophage",0.123003930999173,"Macrophage","Glia"
"5119",917.69184,223.0163986,"query.iter3_cl6","cl40_i103_Il7_Pvalb",0.313008802994028,"Pvalb","Inh"
"5122",943.74507,273.8914542,"query.iter3_cl1","cl17_e147_Gng12_L6_CT",0.5,"L6 PT","Ex"
"5125",838.97161,959.0678024,"query.iter3_cl0","cl210_e22_Spaca6_L23_IT",0.172598563404668,"L2/3 IT","Ex"
"5127",440.8948,760.3240029,"query.iter3_cl3","cl102_e53_Tmem74b_L23_IT",0.313640344467062,"L2/3 IT","Ex"
"5129",801.30581,645.3041893,"query.iter3_cl4","cl94_e57_Cyp39a1_L4",0.5,"L4","Ex"
"5133",852.24822,577.4778931,"query.iter3_cl2","cl41_n102_Selplg_Macrophage",0.155621139268118,"Macrophage","Glia"
"5135",564.88038,106.784405,"query.iter3_cl1","cl106_e50_Dlc1_L6_CT",0.5,"L6 PT","Ex"
"5136",207.98996,13.7313043,"query.iter3_cl9","cl37_e104_Mapk13_L6b",0.5,"L6b","Ex"
"5141",1199.17903,251.7547143,"query.iter3_cl1","cl106_e50_Dlc1_L6_CT",0.5,"L6 PT","Ex"
"5142",1201.46337,58.0350383,"query.iter3_cl9","cl74_e68_Napsa_L6b",0.5,"L6b","Ex"
"5144",1204.07846,566.7243484,"query.iter3_cl4","cl145_e37_Zfat_L4",0.316104155653904,"L4","Ex"
"5146",129.24855,765.9877475,"query.iter3_cl3","cl197_e24_Cfap54_L23_IT",0.5,"L2/3 IT","Ex"
"5154",1039.77602,659.3711521,"query.iter3_cl4","cl196_e24_Zfp781_L4",0.5,"L4","Ex"
"5155",298.76051,732.0866012,"query.iter2_cl2","cl45_i95_Gsx2_Vip",0.30840114536243,"Vip","Inh"
"5160",631.45396,45.3358088,"query.iter3_cl9","cl167_e33_Efcc1_L6_CT",0.5,"L6 PT","Ex"
"5162",899.5517,228.0142609,"query.iter3_cl5","cl76_e66_Pou2f2_L6_IT",0.316705027244092,"L6 IT","Ex"
"5164",46.23839,823.4246578,"query.iter3_cl3","cl226_e21_TrnL1_L23_IT",0.5,"L2/3 IT","Ex"
"5169",731.55285,398.5555836,"query.iter2_cl0","cl241_i20_Fv1_Pvalb",0.5,"Pvalb","Inh"
"5170",1262.20188,591.4794127,"query.iter3_cl3","cl6_e204_Exosc4_L23_IT",0.5,"L2/3 IT","Ex"
"5173",530.94296,663.6710783,"query.iter3_cl3","cl197_e24_Cfap54_L23_IT",0.5,"L2/3 IT","Ex"
"5174",260.19512,224.0722074,"query.iter3_cl1","cl17_e147_Gng12_L6_CT",0.5,"L6 PT","Ex"
"5176",1170.72564,505.6456147,"query.iter3_cl7","cl4_e253_Lgmn_L5_IT",0.316104155653904,"L5 IT","Ex"
"5181",1122.59703,566.4709378,"query.iter3_cl4","cl1_e421_Cst3_L4",0.5,"L4","Ex"
"5184",979.19342,965.9197529,"query.iter3_cl3","cl211_e22_Ascl5_L23_IT",0.314265546617935,"L2/3 IT","Ex"
"5185",528.9483,603.2581648,"query.iter3_cl2","cl41_n102_Selplg_Macrophage",0.169222586298105,"Macrophage","Glia"
"5186",137.54325,816.93967,"query.iter3_cl2","cl41_n102_Selplg_Macrophage",0.145629447927684,"Macrophage","Glia"
"5190",67.84761,714.6749575,"query.iter3_cl0","cl181_e28_Nfkbid_L23_IT",0.317300061326182,"L2/3 IT","Ex"
"5193",988.72593,144.404844,"query.iter2_cl3","cl79_i65_Tnni3k_Sst",0.0783995604375288,"Sst","Inh"
