"cell","x","y","query.cluster","match.cell2cluster","rmax.cell2cluster","subclass","broad_class"
"7257",414.395808,290.6257352,"query.iter3_cl5","cl152_e35_Elf2_L5_IT",0.0762440491264995,"L5 IT","Ex"
"7258",425.057706,293.0951997,"query.iter3_cl3","cl214_e22_Rttn_L6_CT",0.5,"L6 PT","Ex"
"7259",441.001616,302.6989563,"query.iter2_cl2","cl248_i20_Lsmem1_Sst",0.0696482138625099,"Sst","Inh"
"7260",471.416066,320.8883372,"query.iter3_cl5","cl214_e22_Rttn_L6_CT",0.0755206855244186,"L6 PT","Ex"
"7261",495.514333,331.0317651,"query.iter3_cl3","cl106_e50_Dlc1_L6_CT",0.318472989539981,"L6 PT","Ex"
"7262",527.645092,346.2328309,"query.iter2_cl0","cl230_i21_Brca2_Pvalb",0.0290835611117026,"Pvalb","Inh"
"7263",534.524711,353.329606,"query.iter3_cl4","cl152_e35_Elf2_L5_IT",0.170922948490721,"L5 IT","Ex"
"7264",555.721187,369.7158731,"query.iter3_cl5","cl4_e253_Lgmn_L5_IT",0.163068098305664,"L5 IT","Ex"
"7266",563.65678,369.7405748,"query.iter3_cl0","cl228_e21_Rev1_L6_CT",0.0755206855244186,"L6 PT","Ex"
"7267",585.347615,384.878957,"query.iter2_cl2","cl97_i57_Pdyn_Sst",0.155621139268118,"Sst","Inh"
"7268",610.485779,402.4199613,"query.iter3_cl4","cl108_e49_NA_L4",0.0769649899895016,"L4","Ex"
"7269",671.248561,432.2520058,"query.iter3_cl7","cl44_e96_Chrna6_L5_PT",0.00816096258323067,"L5 PT","Ex"
"7270",701.9118,453.3233967,"query.iter2_cl1","cl52_i88_TrnI_Pvalb",0.313008802994028,"Pvalb","Inh"
"7271",727.153221,463.1749901,"query.iter3_cl3","cl156_e35_Gpr139_L6_CT",0.313640344467062,"L6 PT","Ex"
"7289",8.700585,50.3415543,"query.iter3_cl5","cl214_e22_Rttn_L6_CT",0.0299576785099778,"L6 PT","Ex"
"7290",23.534443,49.8856836,"query.iter3_cl3","cl17_e147_Gng12_L6_CT",0.5,"L6 PT","Ex"
"7291",40.282731,59.7009191,"query.iter3_cl1","cl83_n62_Ccl19_VLMC",0.0277791834561747,"VLMC","Glia"
"7292",73.616352,85.238969,"query.iter3_cl6","cl1011_n13_Enpp6_Oligo",0.029520194662656,"Oligo","Glia"
