"cell","x","y","query.cluster","match.cell2cluster","rmax.cell2cluster","subclass","broad_class"
"327",12882.1475556503,12478.0141654392,"query.iter3_cl0","cl1_e421_Cst3_L4",0.798608152876762,"L4","Ex"
"328",13668.7380618695,5616.3741156527,"query.iter2_cl1","cl188_i26_Cgn_Pvalb",0.922175654415973,"Pvalb","Inh"
"331",142.580227657989,10806.5072681594,"query.iter3_cl0","cl1_e421_Cst3_L4",0.792276351763248,"L4","Ex"
"332",1298.47748410009,5871.37009257807,"query.iter2_cl2","cl248_i20_Lsmem1_Sst",0.770396341622423,"Sst","Inh"
"334",13510.446292955,19207.0416200595,"query.iter2_cl3","cl5_i231_Nov_Vip",0.5,"Vip","Inh"
"335",5537.06802347095,10902.5763221819,"query.iter3_cl4","cl69_e70_Depdc7_L5_PT",0.962036518508721,"L5 PT","Ex"
"343",15470.9357222206,9656.5945623249,"query.iter2_cl1","cl119_i46_Ccdc38_Pvalb",0.775411399194855,"Pvalb","Inh"
"353",17157.213839575,11883.4961569499,"query.iter3_cl5","cl1008_e40_NA_L5_IT",0.7807109869595,"L5 IT","Ex"
"355",223.118336061385,16350.1545702007,"query.iter2_cl0","cl1007_i56_NA_Pvalb",0.5,"Pvalb","Inh"
"357",11586.0402053003,8677.78046259484,"query.iter2_cl1","cl212_i22_Cemip_Pvalb",0.770396341622423,"Pvalb","Inh"
"361",12573.586478258,11998.4035146078,"query.iter3_cl0","cl1_e421_Cst3_L4",0.934933159155966,"L4","Ex"
"362",17761.348980419,12551.2448647117,"query.iter3_cl0","cl1_e421_Cst3_L4",0.775411399194855,"L4","Ex"
"365",14462.6855687077,14559.7405554201,"query.iter3_cl1","cl181_e28_Nfkbid_L23_IT",0.934933159155966,"L2/3 IT","Ex"
"367",9603.15496158801,10824.6504143053,"query.iter3_cl5","cl94_e57_Cyp39a1_L4",0.926350430688662,"L4","Ex"
"373",13853.2923367022,8340.74554187002,"query.iter2_cl3","cl36_i104_Rspo4_Vip",0.939332374820759,"Vip","Inh"
"375",14973.274569914,8601.99945487007,"query.iter3_cl4","cl69_e70_Depdc7_L5_PT",0.765641708776896,"L5 PT","Ex"
"376",15326.1729120248,6803.84742262721,"query.iter3_cl6","cl156_e35_Gpr139_L6_CT",0.837563951116237,"L6 PT","Ex"
"377",448.9800639037,12737.546707342,"query.iter3_cl0","cl1_e421_Cst3_L4",0.775411399194855,"L4","Ex"
"378",12895.1640705877,17651.5408010941,"query.iter3_cl1","cl111_e48_Zar1l_L23_IT",0.798608152876762,"L2/3 IT","Ex"
"381",15033.1391814718,9049.34356046621,"query.iter3_cl5","cl1001_e62_Cryba2_L5_IT",0.939332374820759,"L5 IT","Ex"
"384",10659.6153724017,13420.1625940929,"query.iter3_cl3","cl102_e53_Tmem74b_L23_IT",0.5,"L2/3 IT","Ex"
"385",7211.33597634281,10841.2826931085,"query.iter2_cl2","cl1005_i24_Pcdhb20_Sst",0.765641708776896,"Sst","Inh"
"387",12716.7847905872,5513.12044594249,"query.iter4_cl2","cl101_e53_Zmiz1os1_L6_IT",0.5,"L6 IT","Ex"
"391",6931.51788388722,14644.2014529353,"query.iter3_cl0","cl108_e49_NA_L4",0.765641708776896,"L4","Ex"
"398",16157.3866708814,14546.1759784952,"query.iter3_cl3","cl111_e48_Zar1l_L23_IT",0.5,"L2/3 IT","Ex"
"402",3444.02606107669,9549.22090559732,"query.iter2_cl1","cl49_i90_Gpr149_Pvalb",0.939332374820759,"Pvalb","Inh"
"404",9847.66737740266,7572.99468063761,"query.iter4_cl2","cl8_e168_Adam8_L6_IT",0.5,"L6 IT","Ex"
"406",2709.48696013532,8967.85182160029,"query.iter3_cl4","cl179_e29_Cldn23_L5_PT",0.756830429353618,"L5 PT","Ex"
"407",16651.7469902512,13337.2950318389,"query.iter3_cl1","cl111_e48_Zar1l_L23_IT",0.7807109869595,"L2/3 IT","Ex"
"409",1578.21493071151,11376.4597886874,"query.iter3_cl0","cl1_e421_Cst3_L4",0.765641708776896,"L4","Ex"
"412",1701.85940903582,5278.29379238225,"query.iter3_cl6","cl156_e35_Gpr139_L6_CT",0.934933159155966,"L6 PT","Ex"
"414",335.034661925507,12746.9374487284,"query.iter3_cl3","cl181_e28_Nfkbid_L23_IT",0.5,"L2/3 IT","Ex"
"415",9396.58309218381,15924.8038589019,"query.iter3_cl1","cl102_e53_Tmem74b_L23_IT",0.939332374820759,"L2/3 IT","Ex"
"417",8188.63537578792,14278.4822921766,"query.iter3_cl3","cl181_e28_Nfkbid_L23_IT",0.5,"L2/3 IT","Ex"
"419",1425.80090907014,11792.8811691435,"query.iter3_cl0","cl145_e37_Zfat_L4",0.770396341622423,"L4","Ex"
"420",11787.6730370205,13146.349469876,"query.iter2_cl1","cl90_i59_Rom1_Pvalb",0.7807109869595,"Pvalb","Inh"
"421",3323.76227473962,17729.9303218818,"query.iter2_cl3","cl36_i104_Rspo4_Vip",0.934933159155966,"Vip","Inh"
"423",2639.43695145466,10359.9650311451,"query.iter2_cl1","cl160_i34_NA_Pvalb",0.7807109869595,"Pvalb","Inh"
"425",15609.8172488112,17455.0512250948,"query.iter2_cl3","cl151_i35_Gpr63_Lamp5",0.922175654415973,"Lamp5","Inh"
"427",9847.02955421484,11049.5252133697,"query.iter3_cl5","cl145_e37_Zfat_L4",0.7807109869595,"L4","Ex"
"429",4525.55845111484,9396.96034716902,"query.iter2_cl1","cl188_i26_Cgn_Pvalb",0.770396341622423,"Pvalb","Inh"
"432",12501.5440344517,6514.70195161287,"query.iter3_cl6","cl106_e50_Dlc1_L6_CT",0.7807109869595,"L6 PT","Ex"
"435",11575.303553982,17353.2288250255,"query.iter3_cl1","cl197_e24_Cfap54_L23_IT",0.986806161200152,"L2/3 IT","Ex"
"437",4685.62355710243,11229.592941789,"query.iter3_cl5","cl148_e36_Mmel1_L4",0.930604130788195,"L4","Ex"
"444",16882.8059647086,9780.01565318665,"query.iter3_cl5","cl94_e57_Cyp39a1_L4",0.926350430688662,"L4","Ex"
"449",13008.8771940567,8964.39808583454,"query.iter2_cl1","cl135_i42_Ostn_Pvalb",0.7807109869595,"Pvalb","Inh"
"459",17118.6410752876,16611.6383234321,"query.iter3_cl1","cl226_e21_TrnL1_L23_IT",0.926350430688662,"L2/3 IT","Ex"
"461",14166.6704441292,11276.3248832619,"query.iter2_cl0","cl1007_i56_NA_Pvalb",0.5,"Pvalb","Inh"
"466",11562.3443402652,13124.3398301368,"query.iter3_cl0","cl145_e37_Zfat_L4",0.930604130788195,"L4","Ex"
"468",7616.37817212097,9647.72035758145,"query.iter3_cl4","cl44_e96_Chrna6_L5_PT",0.5,"L5 PT","Ex"
"476",9724.70482844564,11836.9742869476,"query.iter3_cl5","cl78_e65_NA_L5_IT",0.775411399194855,"L5 IT","Ex"
"480",16544.7572919351,14070.5673802537,"query.iter3_cl0","cl174_e30_Zfp433_L4",0.765641708776896,"L4","Ex"
"482",12582.4464626959,14927.2401498443,"query.iter3_cl0","cl145_e37_Zfat_L4",0.930604130788195,"L4","Ex"
"483",10755.0199250016,12664.4071276519,"query.iter3_cl5","cl4_e253_Lgmn_L5_IT",0.989931624224827,"L5 IT","Ex"
"484",6338.8357060927,9819.24763773321,"query.iter2_cl2","cl1005_i24_Pcdhb20_Sst",0.7807109869595,"Sst","Inh"
"486",10854.5243745263,15247.0648017481,"query.iter3_cl1","cl111_e48_Zar1l_L23_IT",0.7807109869595,"L2/3 IT","Ex"
"491",4856.38833831947,8814.44770377566,"query.iter3_cl5","cl148_e36_Mmel1_L4",0.934933159155966,"L4","Ex"
"498",205.507411623754,11639.6373643645,"query.iter3_cl0","cl94_e57_Cyp39a1_L4",0.752737666058065,"L4","Ex"
"502",10423.4720475217,18494.5070489852,"query.iter2_cl3","cl63_i73_Tac2_Vip",0.7807109869595,"Vip","Inh"
"505",16166.2708447963,9378.16762970884,"query.iter3_cl4","cl69_e70_Depdc7_L5_PT",0.985136408346973,"L5 PT","Ex"
"510",14100.4395318176,14894.1429785497,"query.iter3_cl3","cl181_e28_Nfkbid_L23_IT",0.5,"L2/3 IT","Ex"
"513",1574.86110337863,11045.6262674432,"query.iter2_cl1","cl49_i90_Gpr149_Pvalb",0.939332374820759,"Pvalb","Inh"
"518",14332.8360546533,11578.0385559909,"query.iter3_cl5","cl78_e65_NA_L5_IT",0.837563951116237,"L5 IT","Ex"
"520",8256.51746979041,5034.37338717524,"query.iter3_cl6","cl156_e35_Gpr139_L6_CT",0.837563951116237,"L6 PT","Ex"
"524",11467.4234120795,15617.6975647171,"query.iter3_cl1","cl102_e53_Tmem74b_L23_IT",0.943794707672318,"L2/3 IT","Ex"
"526",8833.41187296241,10011.8633539675,"query.iter2_cl2","cl1005_i24_Pcdhb20_Sst",0.761126095049772,"Sst","Inh"
"527",657.869291764321,5621.04560004988,"query.iter4_cl2","cl8_e168_Adam8_L6_IT",0.5,"L6 IT","Ex"
"531",15218.4843749152,13172.3641237971,"query.iter3_cl0","cl108_e49_NA_L4",0.7807109869595,"L4","Ex"
"532",5102.98309722873,13466.6654870542,"query.iter3_cl0","cl108_e49_NA_L4",0.765641708776896,"L4","Ex"
"536",11551.2787100098,11815.2898087759,"query.iter3_cl2","cl70_e70_Abca12_L5_NP",0.5,"L5 NP","Ex"
"537",14982.7998796146,15444.1514916784,"query.iter3_cl1","cl197_e24_Cfap54_L23_IT",0.986806161200152,"L2/3 IT","Ex"
"542",16470.8075707395,7498.94047778997,"query.iter3_cl1","cl181_e28_Nfkbid_L23_IT",0.775411399194855,"L2/3 IT","Ex"
"543",12297.9705143439,12498.6523688672,"query.iter3_cl0","cl1_e421_Cst3_L4",0.792276351763248,"L4","Ex"
"546",7244.16444478921,15185.2532670324,"query.iter3_cl0","cl94_e57_Cyp39a1_L4",0.992717841929891,"L4","Ex"
"547",14569.5955322166,15628.6210355308,"query.iter2_cl3","cl63_i73_Tac2_Vip",0.926350430688662,"Vip","Inh"
"550",7654.11552512369,7214.6806762343,"query.iter2_cl0","cl119_i46_Ccdc38_Pvalb",0.5,"Pvalb","Inh"
"552",10793.8713424054,8681.0738604208,"query.iter2_cl1","cl49_i90_Gpr149_Pvalb",0.939332374820759,"Pvalb","Inh"
"553",9440.10033182516,10361.7611802029,"query.iter3_cl4","cl179_e29_Cldn23_L5_PT",0.5,"L5 PT","Ex"
"554",1916.05622001171,9359.16338150371,"query.iter3_cl5","cl1008_e40_NA_L5_IT",0.926350430688662,"L5 IT","Ex"
"559",10872.8954397079,10814.4460467913,"query.iter3_cl5","cl1001_e62_Cryba2_L5_IT",0.939332374820759,"L5 IT","Ex"
