"cell","x","y","query.cluster","match.cell2cluster","rmax.cell2cluster","subclass","broad_class"
"1188",10826.0088043973,17141.787633541,"query.iter3_cl9","cl44_e96_Chrna6_L5_PT",0.016594530106363,"L5 PT","Ex"
"1190",12867.0298299654,16434.1427418755,"query.iter3_cl0","cl8_e168_Adam8_L6_IT",0.0183795469744811,"L6 IT","Ex"
"1193",17946.1145374294,6955.61294949956,"query.iter3_cl5","cl226_e21_TrnL1_L23_IT",0.0736495693113381,"L2/3 IT","Ex"
"1194",16697.965318684,4223.65714759404,"query.iter3_cl1","cl44_e96_Chrna6_L5_PT",0.0183795469744811,"L5 PT","Ex"
"1196",6176.46663874858,13873.3168456898,"query.iter3_cl6","cl17_e147_Gng12_L6_CT",0.0202119896684543,"L6 PT","Ex"
"1197",14506.1521860366,2654.30916807845,"query.iter3_cl10","cl8_e168_Adam8_L6_IT",0.0183795469744811,"L6 IT","Ex"
"1199",6847.94071644275,7043.51425380028,"query.iter3_cl3","cl44_e96_Chrna6_L5_PT",0.0148635916530273,"L5 PT","Ex"
"1200",4358.59300719725,17073.9088818474,"query.iter3_cl2","cl187_e26_Teddm2_L6_CT",0.0148635916530273,"L6 PT","Ex"
"1201",11924.2814821595,15279.7135153324,"query.iter3_cl0","cl226_e21_TrnL1_L23_IT",0.0148635916530273,"L2/3 IT","Ex"
"1203",7828.46830789607,18540.546057875,"query.iter3_cl1","cl44_e96_Chrna6_L5_PT",0.011592801747368,"L5 PT","Ex"
"1205",11310.1600593046,3512.25399607208,"query.iter3_cl12","cl74_e68_Napsa_L6b",0.201391847123238,"L6b","Ex"
"1206",3707.61997502707,14847.9332855078,"query.iter3_cl3","cl214_e22_Rttn_L6_CT",0.0202119896684543,"L6 PT","Ex"
"1207",11865.0831782943,3078.22331884679,"query.iter3_cl3","cl214_e22_Rttn_L6_CT",0.0183795469744811,"L6 PT","Ex"
"1208",6766.74805182784,18318.7155918192,"query.iter2_cl4","cl132_i43_Fbn1_Vip",0.0736495693113381,"Vip","Inh"
"1209",11846.9034517841,15255.5324624489,"query.iter3_cl6","cl8_e168_Adam8_L6_IT",0.0202119896684543,"L6 IT","Ex"
"1210",15962.769324067,9994.22436923922,"query.iter3_cl0","cl226_e21_TrnL1_L23_IT",0.0148635916530273,"L2/3 IT","Ex"
"1212",16739.5775083173,8838.22299437102,"query.iter3_cl0","cl103_e53_NA_L23_IT",0.016594530106363,"L2/3 IT","Ex"
"1213",9145.18794157415,2432.06241091789,"query.iter3_cl7","cl69_e70_Depdc7_L5_PT",0.016594530106363,"L5 PT","Ex"
"1216",12538.4601644147,14361.0009091306,"query.iter3_cl9","cl44_e96_Chrna6_L5_PT",0.0183795469744811,"L5 PT","Ex"
"1217",8626.57770152152,3004.50754549309,"query.iter3_cl7","cl190_e26_Cdh15_L5_PT",0.0220856724542213,"L5 PT","Ex"
"1219",64.6442514100033,15133.290545318,"query.iter2_cl4","cl18_i146_Car4_Vip",0.229603658377577,"Vip","Inh"
"1220",11725.247884525,8319.03366426426,"query.iter3_cl11","cl20_e142_Rap2a_L5_PT",0.0736495693113381,"L5 PT","Ex"
"1221",13742.7325473275,13252.9215087891,"query.iter3_cl0","cl226_e21_TrnL1_L23_IT",0.0202119896684543,"L2/3 IT","Ex"
"1222",3953.0349847437,17250.9511488589,"query.iter3_cl6","cl44_e96_Chrna6_L5_PT",0.0183795469744811,"L5 PT","Ex"
"1225",12946.7251061836,3140.55388683795,"query.iter3_cl4","cl191_e26_Chadl_L6_IT",0.013193838799848,"L6 IT","Ex"
"1227",8547.70212433584,9740.27714614549,"query.iter2_cl1","cl185_i27_Slc4a7_Pvalb",0.0183795469744811,"Pvalb","Inh"
"1229",9128.9613369673,14445.2762150874,"query.iter3_cl10","cl78_e65_NA_L5_IT",0.0183795469744811,"L5 IT","Ex"
"1232",11048.2270558988,10977.55049306,"query.iter3_cl3","cl18_i146_Car4_Vip",0.0183795469744811,"Vip","Inh"
"1233",9503.05242099812,12502.5943925612,"query.iter3_cl10","cl145_e37_Zfat_L4",0.0148635916530273,"L4","Ex"
"1235",12044.7238107779,6366.94367338419,"query.iter3_cl6","cl17_e147_Gng12_L6_CT",0.0183795469744811,"L6 PT","Ex"
"1237",8312.3854554594,10990.3279402538,"query.iter3_cl4","cl191_e26_Chadl_L6_IT",0.0183795469744811,"L6 IT","Ex"
"1238",7717.40962054538,18958.8802285787,"query.iter3_cl1","cl5_i231_Nov_Vip",0.0148635916530273,"Vip","Inh"
"1241",12446.0401574875,12581.4853067671,"query.iter3_cl1","cl226_e21_TrnL1_L23_IT",0.0148635916530273,"L2/3 IT","Ex"
"1242",7473.17335992546,19348.8215051373,"query.iter3_cl1","cl8_e168_Adam8_L6_IT",0.0183795469744811,"L6 IT","Ex"
"1243",8703.10837229564,7779.02388838828,"query.iter3_cl2","cl106_e50_Dlc1_L6_CT",0.0183795469744811,"L6 PT","Ex"
"1246",17990.2921083512,8099.91190854419,"query.iter4_cl2","cl1002_i29_Nts_Sst",0.016594530106363,"Sst","Inh"
"1249",17312.5543409316,7379.59757996088,"query.iter3_cl5","cl226_e21_TrnL1_L23_IT",0.0736495693113381,"L2/3 IT","Ex"
"1251",8277.85422634678,17766.309982476,"query.iter3_cl1","cl145_e37_Zfat_L4",0.0100683757751732,"L4","Ex"
"1252",14445.1723375673,13918.7973946814,"query.iter3_cl5","cl226_e21_TrnL1_L23_IT",0.234358291223104,"L2/3 IT","Ex"
"1253",12701.9744662128,3647.30516044313,"query.iter2_cl1","cl185_i27_Slc4a7_Pvalb",0.0183795469744811,"Pvalb","Inh"
"1255",15100.6618465316,13724.5378650911,"query.iter3_cl5","cl6_e204_Exosc4_L23_IT",0.0736495693113381,"L2/3 IT","Ex"
"1256",8754.53201292449,21473.6369798472,"query.iter3_cl0","cl8_e168_Adam8_L6_IT",0.0183795469744811,"L6 IT","Ex"
"1258",4333.90557530678,16958.1747312438,"query.iter3_cl2","cl17_e147_Gng12_L6_CT",0.016594530106363,"L6 PT","Ex"
"1260",15970.7213930412,9547.28136703301,"query.iter3_cl0","cl111_e48_Zar1l_L23_IT",0.0183795469744811,"L2/3 IT","Ex"
"1261",6115.84184150708,13722.0906326794,"query.iter3_cl4","cl172_e31_Htr6_L6_IT",0.0202119896684543,"L6 IT","Ex"
"1262",13526.1827684509,2991.8640683554,"query.iter3_cl4","cl218_e22_P4ha3_L6_IT",0.0183795469744811,"L6 IT","Ex"
"1263",4443.59493205302,13744.1479853982,"query.iter3_cl6","cl8_e168_Adam8_L6_IT",0.016594530106363,"L6 IT","Ex"
"1264",7539.01077573415,9247.30691556542,"query.iter3_cl12","cl74_e68_Napsa_L6b",0.0202119896684543,"L6b","Ex"
"1265",15431.5699966533,2056.45474582543,"query.iter2_cl1","cl185_i27_Slc4a7_Pvalb",0.016594530106363,"Pvalb","Inh"
"1268",8715.11080791684,10112.9121518519,"query.iter2_cl3","cl166_i33_Has2os_Sst",0.0202119896684543,"Sst","Inh"
"1270",9218.39388430834,17766.6022470128,"query.iter3_cl9","cl44_e96_Chrna6_L5_PT",0.016594530106363,"L5 PT","Ex"
"1271",4843.14894069811,14510.0303907155,"query.iter3_cl2","cl214_e22_Rttn_L6_CT",0.0183795469744811,"L6 PT","Ex"
"1272",1832.5579676891,14653.5776789196,"query.iter2_cl0","cl160_i34_NA_Pvalb",0.0693958692118049,"Pvalb","Inh"
"1273",6994.43895048264,12914.0025394848,"query.iter3_cl2","cl17_e147_Gng12_L6_CT",0.0183795469744811,"L6 PT","Ex"
"1274",11655.8757693725,14001.1764182463,"query.iter3_cl0","cl44_e96_Chrna6_L5_PT",0.0183795469744811,"L5 PT","Ex"
"1277",6716.16400660957,19335.0650909265,"query.iter3_cl3","cl18_i146_Car4_Vip",0.013193838799848,"Vip","Inh"
"1278",15552.5514979628,13057.308266404,"query.iter3_cl5","cl6_e204_Exosc4_L23_IT",0.0736495693113381,"L2/3 IT","Ex"
"1286",7659.27979906142,17731.6445677986,"query.iter3_cl9","cl44_e96_Chrna6_L5_PT",0.0148635916530273,"L5 PT","Ex"
"1287",11934.8110240458,13102.6477752117,"query.iter3_cl9","cl17_e147_Gng12_L6_CT",0.016594530106363,"L6 PT","Ex"
"1289",14731.5215126781,7261.17414703542,"query.iter3_cl8","cl111_e48_Zar1l_L23_IT",0.016594530106363,"L2/3 IT","Ex"
"1290",6204.4024398146,13220.3250537133,"query.iter3_cl2","cl228_e21_Rev1_L6_CT",0.016594530106363,"L6 PT","Ex"
"1292",10805.4057007965,10173.1973706023,"query.iter2_cl2","cl79_i65_Tnni3k_Sst",0.0693958692118049,"Sst","Inh"
"1296",11268.8031429538,14116.6766886716,"query.iter3_cl1","cl44_e96_Chrna6_L5_PT",0.0183795469744811,"L5 PT","Ex"
"1297",7529.52757893812,10299.049354627,"query.iter3_cl7","cl69_e70_Depdc7_L5_PT",0.016594530106363,"L5 PT","Ex"
"1298",17024.3268265426,8912.96965447288,"query.iter3_cl5","cl111_e48_Zar1l_L23_IT",0.0819178376258774,"L2/3 IT","Ex"
"1301",10378.780768329,17657.4728353707,"query.iter3_cl9","cl27_e121_Gadd45a_L6_CT",0.0183795469744811,"L6 PT","Ex"
"1302",9917.19038550436,17331.9086391985,"query.iter3_cl0","cl8_e168_Adam8_L6_IT",0.0183795469744811,"L6 IT","Ex"
"1303",12255.0900447629,2227.26503626949,"query.iter3_cl6","cl8_e168_Adam8_L6_IT",0.0183795469744811,"L6 IT","Ex"
"1306",10772.7447355466,7747.03635530758,"query.iter3_cl2","cl27_e121_Gadd45a_L6_CT",0.016594530106363,"L6 PT","Ex"
"1307",13726.8765093221,14218.1994368269,"query.iter3_cl0","cl197_e24_Cfap54_L23_IT",0.0148635916530273,"L2/3 IT","Ex"
"1308",11222.235246744,15208.7228993358,"query.iter3_cl0","cl8_e168_Adam8_L6_IT",0.0148635916530273,"L6 IT","Ex"
"1309",12873.7645798014,14239.8865253898,"query.iter3_cl9","cl44_e96_Chrna6_L5_PT",0.013193838799848,"L5 PT","Ex"
"1310",8874.98799275629,16904.3097771852,"query.iter3_cl8","cl145_e37_Zfat_L4",0.0148635916530273,"L4","Ex"
"1315",5858.94512708263,14159.5758616834,"query.iter3_cl6","cl44_e96_Chrna6_L5_PT",0.0148635916530273,"L5 PT","Ex"
"1318",11790.8292472854,11844.4111493713,"query.iter3_cl3","cl8_e168_Adam8_L6_IT",0.0183795469744811,"L6 IT","Ex"
"1320",11683.6970997818,17336.0818854478,"query.iter3_cl0","cl17_e147_Gng12_L6_CT",0.0148635916530273,"L6 PT","Ex"
"1321",5992.12685717296,4281.05239132107,"query.iter3_cl3","cl74_e68_Napsa_L6b",0.013193838799848,"L6b","Ex"
"1322",15479.1303187562,9287.8088518442,"query.iter3_cl9","cl17_e147_Gng12_L6_CT",0.016594530106363,"L6 PT","Ex"
"1324",16295.3253039665,7830.23320712096,"query.iter3_cl1","cl44_e96_Chrna6_L5_PT",0.0183795469744811,"L5 PT","Ex"
"1325",8902.80182201365,8161.94289784769,"query.iter3_cl2","cl17_e147_Gng12_L6_CT",0.016594530106363,"L6 PT","Ex"
"1326",6571.80574891415,16797.7108190576,"query.iter3_cl10","cl46_e95_Npc1l1_L5_IT",0.0202119896684543,"L5 IT","Ex"
"1328",12063.825688584,14554.0820193964,"query.iter3_cl8","cl145_e37_Zfat_L4",0.0183795469744811,"L4","Ex"
"1329",15335.4902013682,11193.4183261439,"query.iter3_cl0","cl103_e53_NA_L23_IT",0.013193838799848,"L2/3 IT","Ex"
"1330",11945.7661340153,10639.5717597054,"query.iter2_cl1","cl34_i116_Nr2e1_Vip",0.0183795469744811,"Vip","Inh"
"1332",14171.5257106674,6820.07849767955,"query.iter3_cl8","cl8_e168_Adam8_L6_IT",0.016594530106363,"L6 IT","Ex"
"1334",14183.5157964758,4699.62910249699,"query.iter3_cl11","cl69_e70_Depdc7_L5_PT",0.0650668408440342,"L5 PT","Ex"
"1337",14065.8500199397,4857.20376435214,"query.iter2_cl2","cl97_i57_Pdyn_Sst",0.234358291223104,"Sst","Inh"
"1339",11563.2300748491,6598.82362840246,"query.iter3_cl2","cl44_e96_Chrna6_L5_PT",0.0183795469744811,"L5 PT","Ex"
"1340",7355.79898052447,13543.9203605719,"query.iter3_cl4","cl8_e168_Adam8_L6_IT",0.0202119896684543,"L6 IT","Ex"
